"sf__Id","sf__Created",External_Id__c,Account_Name__c,Active__c,Asset_Level__c,Asset_Name__c,Competitor_Asset__c,Consequence_Of_Failure__c,Delivered_Date__c,Description__c,Digital_Asset_Status__c,InActive_Date__c,Install_Date__c,IsInternal__c,Manufacture_Date__c,Price__c,Product_Code__c,Product_Description__c,Product_Family__c,Purchase_Date__c,Quantity__c,Reminder_Date__c,SAP_Account_No__c,Search__c,Serial_Number__c,Status_Reason__c,Status__c,StockKeepingUnit__c,Usage_End_Date__c,Uuid__c,Agreement_Availability_Status__c,Agreement_Date__c,Approval_Date__c,Invalid__c,Issue_Date__c,Remarks__c,Product__c
"a0JBK000002r87y2AA","true","","","false","","","false","","","","","","","false","","","","","","","1.0","","","--","","","Initial Assessment","","","","","","","false","","","a03Q800000bX7SvIAK"
"a0JBK000002r87z2AA","true","","","false","","","false","","","","","","","false","","","","","","","","","","--","","","","","","","","","","false","","",""
"a0JBK000002r8802AA","true","","","false","","","false","","","","","","","false","","","","","","","","2026-04-30","","--","","","Demo","","","","","","","false","","",""
"a0JBK000002r8812AA","true","","","false","","","false","","","","","","","false","","","","","","","","","","--","","","","","","","","","","false","","",""
"a0JBK000002r8822AA","true","","","true","","","false","","","Swelab Alfa plus standard","","","2022-10-12","false","","","","","","","1.0","","","--","118193","","Invoiced/Sold","","","","","","","false","","",""
"a0JBK000002r8832AA","true","","","true","","","false","","","","","","2025-09-01","false","","","","","","","1.0","","","--","22-5006","","RR","","","","","","","false","","","a03Q800000bX889IAC"
"a0JBK000002r8842AA","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","12345","","","","","","","","","false","","","a03Q800000bX889IAC"
"a0JBK000002r8852AA","true","","","true","","","false","","","Installed in Khaleej Diagnostic Center.","","","2025-09-29","false","","","","","","","1.0","","","--","127708","","Invoiced/Sold","","","","","","","false","","","a03Q800000bX7yZIAS"
"a0JBK000002r8862AA","true","","","true","","","false","","","Installed in Reliance Medical Center. Replaced Medonic Sampler.","","","2025-09-05","false","","","","","","","1.0","","","--","127706","","Invoiced/Sold","","","","","","","false","","","a03Q800000bX7yZIAS"
"a0JBK000002r8872AA","true","","","true","","","false","","","","","","","false","","","","","","","3.0","","","--","","","Invoiced/Sold","","","","","","","false","","","a03Q800000bX8QmIAK"
"a0JBK000002r8882AA","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","127804","","Invoiced/Sold","","","","","","","false","","","a03Q800000bX7yYIAS"
"a0JBK000002r8892AA","true","","","false","","","false","","","","","","","false","","","","","","","1.0","","","--","","","Initial Assessment","","","","","","","false","","","a03Q800000bX8QFIA0"
"a0JBK000002r88A2AQ","true","","","false","","","false","","","","","","","false","","","","","","","1.0","","","--","","","Initial Assessment","","","","","","","false","","","a03Q800000bX8QEIA0"
"a0JBK000002r88B2AQ","true","","","false","","","false","","","","","","","false","","","","","","","1.0","","","--","","","Initial Assessment","","","","","","","false","","","a03Q800000bX8CpIAK"
"a0JBK000002r88C2AQ","true","","","true","","","false","","","","","","","false","","","","","","","","2026-04-01","","--","","","RR","","","","","","","false","","","a03Q800000bX89bIAC"
"a0JBK000002r88D2AQ","true","3002000074","","true","","","false","","","","","","","false","","","","","","","","","","--","E0672-41-300621","","RR","","","","","","","false","","","a03Q800000bX8BSIA0"
"a0JBK000002r88E2AQ","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","P078240080C","","RR","","","","","","","false","","","a03Q800000bX8C3IAK"
"a0JBK000002r88F2AQ","true","3002000033","","true","","","false","","","","","","","false","","","","","","","","","","--","30006238","","RR","","","","","","","false","","","a03Q800000bX8CwIAK"
"a0JBK000002r88G2AQ","true","3002000037","","true","","","false","","","","","","","false","","","","","","","","","","--","30006243","","RR","","","","","","","false","","","a03Q800000bX8CwIAK"
"a0JBK000002r88H2AQ","true","3002000079","","true","","","false","","","","","","","false","","","","","","","","","","--","P072230210C","","RR","","","","","","","false","","","a03Q800000bX8C3IAK"
"a0JBK000002r88I2AQ","true","3002000101","","true","","","false","","","","","","","false","","","","","","","","","","--","1613","","RR","","","","","","","false","","","a03Q800000bX8FFIA0"
"a0JBK000002r88J2AQ","true","3002000075","","true","","","false","","","","","","","false","","","","","","","","","","--","IA00093322","","RR","","","","","","","false","","","a03Q800000bX888IAC"
"a0JBK000002r88K2AQ","true","3002000023","","true","","","false","","","","","","","false","","","","","","","","","","--","30004829","","RR","","","","","","","false","","","a03Q800000bX8CwIAK"
"a0JBK000002r88L2AQ","true","Demo # 8300050626","","true","","","false","","","","","","","false","","","","","","","","2026-04-01","","--","TE11042147005","","RR","","","","","","","false","","","a03Q800000bX7yZIAS"
"a0JBK000002r88M2AQ","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","1746","","RR","","","","","","","false","","","a03Q800000bX8FFIA0"
"a0JBK000002r88N2AQ","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","3.24E+11","","RR","","","","","","","false","","","a03Q800000bX8L9IAK"
"a0JBK000002r88O2AQ","true","3002000008","","false","","","false","","","","","","","false","","","","","","","","","","--","#PP13230140C","","Inactive","","","","","","","false","","","a03Q800000bX8C9IAK"
"a0JBK000002r88P2AQ","true","3002000012","","false","","","false","","","","","","","false","","","","","","","","","","--","22-5015","","Inactive","","","","","","","false","","","a03Q800000bX889IAC"
"a0JBK000002r88Q2AQ","true","3002000102","","true","","","false","","","","","","","false","","","","","","","","","","--","1614","","RR","","","","","","","false","","","a03Q800000bX8FFIA0"
"a0JBK000002r88R2AQ","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","20-4085","","RR","","","","","","","false","","","a03Q800000bWuXmIAK"
"a0JBK000002r88S2AQ","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","","","RR","","","","","","","false","","","a03Q800000bX7yZIAS"
"a0JBK000002r88T2AQ","true","3002000027","","true","","","false","","","","","","","false","","","","","","","","","","--","36001565","","RR","","","","","","","false","","","a03Q800000bX8CuIAK"
"a0JBK000002r88U2AQ","true","3002000004","","true","","","false","","","","","","","false","","","","","","","","","","--","104282","","RR","","","","","","","false","","","a03Q800000bX7yYIAS"
"a0JBK000002r88V2AQ","true","3002000014","","true","","","false","","","","","","","false","","","","","","","","","","--","IA00093122","","RR","","","","","","","false","","","a03Q800000bX888IAC"
"a0JBK000002r88W2AQ","true","3002000025","","false","","","false","","","","","","","false","","","","","","","","","","--","36000907","","Inactive","","","","","","","false","","","a03Q800000bX8CuIAK"
"a0JBK000002r88X2AQ","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","","","RR","","","","","","","false","","","a03Q800000bX8FFIA0"
"a0JBK000002r88Y2AQ","true","3002000002","","true","","","false","","","","","","","false","","","","","","","","","","--","21-5017","","RR","","","","","","","false","","","a03Q800000bX889IAC"
"a0JBK000002r88Z2AQ","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","ID00152044","","RR","","","","","","","false","","","a03Q800000bX89bIAC"
"a0JBK000002r88a2AA","true","3002000009","","true","","","false","","","","","","","false","","","","","","","","","","--","IA00092922","","RR","","","","","","","false","","","a03Q800000bX888IAC"
"a0JBK000002r88b2AA","true","3002000034","","true","","","false","","","","","","","false","","","","","","","","","","--","30006181","","RR","","","","","","","false","","","a03Q800000bX8CwIAK"
"a0JBK000002r88c2AA","true","E-mail forwarded to Mr. Asim & Mr. Abdul Khalid for CAPEX appropriation requested because demo performed from 3200 Plant Lahore (mail attached)","","true","","","false","","","","","","","false","","","","","","","","","","--","IA00096724","","RR","","","","","","","false","","","a03Q800000bX888IAC"
"a0JBK000002r88d2AA","true","3002000095","","true","","","false","","","","","","","false","","","","","","","","","","--","","","RR","","","","","","","false","","","a03Q800000bX7yYIAS"
"a0JBK000002r88e2AA","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","ID00176348","","RR","","","","","","","false","","","a03Q800000bX89bIAC"
"a0JBK000002r88f2AA","true","3002000012","","true","","","false","","","","","","","false","","","","","","","","","","--","","","RR","","","","","","","false","","","a03Q800000bX889IAC"
"a0JBK000002r88g2AA","true","3002000040","","true","","","false","","","","","","","false","","","","","","","","","","--","56-71-160517","","RR","","","","","","","false","","","a03Q800000bX8BRIA0"
"a0JBK000002r88h2AA","true","3002000060","","true","","","false","","","","","","","false","","","","","","","","","","--","ID00081331","","RR","","","","","","","false","","","a03Q800000bX89bIAC"
"a0JBK000002r88i2AA","true","AR#300091","","true","","","false","","","","","","","false","","","","","","","","","","--","","","RR","","","","","","","false","","","a03Q800000bWuXmIAK"
"a0JBK000002r88j2AA","true","3002000043","","false","","","false","","","","","","","false","","","","","","","","","","--","5782-2-202302","","Inactive","","","","","","","false","","","a03Q800000bX8BYIA0"
"a0JBK000002r88k2AA","true","3002000043","","false","","","false","","","","","","","false","","","","","","","","","","--","4286-2-202208","","Inactive","","","","","","","false","","","a03Q800000bX8BYIA0"
"a0JBK000002r88l2AA","true","3002000010","","true","","","false","","","","","","","false","","","","","","","","","","--","IA00093222","","RR","","","","","","","false","","","a03Q800000bX888IAC"
"a0JBK000002r88m2AA","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","DM11052437004","","RR","","","","","","","false","","","a03Q800000bX8JFIA0"
"a0JBK000002r88n2AA","true","3002000003","","true","","","false","","","","","","","false","","","","","","","","","","--","21-4087","","RR","","","","","","","false","","","a03Q800000bWuXmIAK"
"a0JBK000002r88o2AA","true","3002000090","","true","","","false","","","","","","","false","","","","","","","","","","--","30006326","","RR","","","","","","","false","","","a03Q800000bX8CwIAK"
"a0JBK000002r88p2AA","true","3002000013","","false","","","false","","","","","","","false","","","","","","","","","","--","ID00026724","","Inactive","","","","","","","false","","","a03Q800000bX89bIAC"
"a0JBK000002r88q2AA","true","3002000024","","true","","","false","","","","","","","false","","","","","","","","","","--","30006173","","RR","","","","","","","false","","","a03Q800000bX8CwIAK"
"a0JBK000002r88r2AA","true","3002000039","","false","","","false","","","","","","","false","","","","","","","","","","--","121495","","Inactive","","","","","","","false","","","a03Q800000bX7yYIAS"
"a0JBK000002r88s2AA","true","3002000064","","false","","","false","","","","","","","false","","","","","","","","","","--","121496","","Inactive","","","","","","","false","","","a03Q800000bX7yYIAS"
"a0JBK000002r88t2AA","true","3002000050","","false","","","false","","","","","","","false","","","","","","","","","","--","122531","","Inactive","","","","","","","false","","","a03Q800000bX7yYIAS"
"a0JBK000002r88u2AA","true","3002000051","","false","","","false","","","","","","","false","","","","","","","","","","--","123197","","Inactive","","","","","","","false","","","a03Q800000bX7yYIAS"
"a0JBK000002r88v2AA","true","3002000069","","false","","","false","","","","","","","false","","","","","","","","","","--","121497","","Inactive","","","","","","","false","","","a03Q800000bX7yYIAS"
"a0JBK000002r88w2AA","true","3002000021","","true","","","false","","","","","","","false","","","","","","","","","","--","30006248","","RR","","","","","","","false","","","a03Q800000bX8CwIAK"
"a0JBK000002r88x2AA","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","","","RR","","","","","","","false","","","a03Q800000bX8BXIA0"
"a0JBK000002r88y2AA","true","3002000061","","true","","","false","","","","","","","false","","","","","","","","","","--","27-x2-130818","","RR","","","","","","","false","","","a03Q800000bX8BXIA0"
"a0JBK000002r88z2AA","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","","","RR","","","","","","","false","","","a03Q800000bX8CwIAK"
"a0JBK000002r8902AA","true","3002000094","","true","","","false","","","","","","","false","","","","","","","","","","--","DM11052408003","","RR","","","","","","","false","","","a03Q800000bX8JFIA0"
"a0JBK000002r8912AA","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","","","RR","","","","","","","false","","","a03Q800000bX8C3IAK"
"a0JBK000002r8922AA","true","AR#300141","","false","","","false","","","","","","","false","","","","","","","","","","--","","","Inactive","","","","","","","false","","","a03Q800000bX8FFIA0"
"a0JBK000002r8932AA","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","ID00175747","","RR","","","","","","","false","","","a03Q800000bX89bIAC"
"a0JBK000002r8942AA","true","3002000017","","false","","","false","","","","","","","false","","","","","","","","","","--","22-5023","","Inactive","","","","","","","false","","","a03Q800000bX889IAC"
"a0JBK000002r8952AA","true","3002000106","","true","","","false","","","","","","","false","","","","","","","","","","--","ID00175547","","RR","","","","","","","false","","","a03Q800000bX89bIAC"
"a0JBK000002r8962AA","true","3002000011","","false","","","false","","","","","","","false","","","","","","","","","","--","22-5016","","Inactive","","","","","","","false","","","a03Q800000bX889IAC"
"a0JBK000002r8972AA","true","3002000026","","true","","","false","","","","","","","false","","","","","","","","","","--","36001150","","RR","","","","","","","false","","","a03Q800000bX8CuIAK"
"a0JBK000002r8982AA","true","3002000109","","true","","","false","","","","","","","false","","","","","","","","","","--","ID00093734","","RR","","","","","","","false","","","a03Q800000bX89bIAC"
"a0JBK000002r8992AA","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","","","RR","","","","","","","false","","","a03Q800000bX89bIAC"
"a0JBK000002r89A2AQ","true","3002000100","","true","","","false","","","","","","","false","","","","","","","","","","--","IA00147046","","RR","","","","","","","false","","","a03Q800000bX888IAC"
"a0JBK000002r89B2AQ","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","","","RR","","","","","","","false","","","a03Q800000bX889IAC"
"a0JBK000002r89C2AQ","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","IA00146946","","RR","","","","","","","false","","","a03Q800000bX888IAC"
"a0JBK000002r89D2AQ","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","ID00176648","","RR","","","","","","","false","","","a03Q800000bX89bIAC"
"a0JBK000002r89E2AQ","true","3002000035","","false","","","false","","","","","","","false","","","","","","","","","","--","30006187","","Inactive","","","","","","","false","","","a03Q800000bX8CwIAK"
"a0JBK000002r89F2AQ","true","3002000020","","true","","","false","","","","","","","false","","","","","","","","","","--","30006249","","RR","","","","","","","false","","","a03Q800000bX8CwIAK"
"a0JBK000002r89G2AQ","true","3002000082","","true","","","false","","","","","","","false","","","","","","","","","","--","122534","","RR","","","","","","","false","","","a03Q800000bX7yYIAS"
"a0JBK000002r89H2AQ","true","3002000085","","true","","","false","","","","","","","false","","","","","","","","","","--","E0848-11-140423","","RR","","","","","","","false","","","a03Q800000bX8BTIA0"
"a0JBK000002r89I2AQ","true","3002000086","","true","","","false","","","","","","","false","","","","","","","","","","--","10477-1-202306","","RR","","","","","","","false","","","a03Q800000bX8BUIA0"
"a0JBK000002r89J2AQ","true","3002000084","","true","","","false","","","","","","","false","","","","","","","","","","--","6909-2-202305","","RR","","","","","","","false","","","a03Q800000bX8BYIA0"
"a0JBK000002r89K2AQ","true","3002000083","","true","","","false","","","","","","","false","","","","","","","","","","--","23-46854","","RR","","","","","","","false","","","a03Q800000bX7SvIAK"
"a0JBK000002r89L2AQ","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","","","RR","","","","","","","false","","","a03Q800000bX8BYIA0"
"a0JBK000002r89M2AQ","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","ID000949341","","RR","","","","","","","false","","","a03Q800000bX89bIAC"
"a0JBK000002r89N2AQ","true","On demo (800053123) since 18 august 22","","true","","","false","","","","","","","false","","","","","","","","","","--","898-1-202110","","RR","","","","","","","false","","","a03Q800000bX8BVIA0"
"a0JBK000002r89O2AQ","true","12- 7-24 demo 8300051872","","true","","","false","","","","","","","false","","","","","","","","","","--","897-1-202110","","RR","","","","","","","false","","","a03Q800000bX8BVIA0"
"a0JBK000002r89P2AQ","true","3002000042","","true","","","false","","","","","","","false","","","","","","","","","","--","106-X2-260419","","RR","","","","","","","false","","","a03Q800000bX8BXIA0"
"a0JBK000002r89Q2AQ","true","3002000049","","true","","","false","","","","","","","false","","","","","","","","","","--","202-X2-120520","","RR","","","","","","","false","","","a03Q800000bX8BXIA0"
"a0JBK000002r89R2AQ","true","3002000030","","false","","","false","","","","","","","false","","","","","","","","","","--","0034-X2-230818","","Inactive","","","","","","","false","","","a03Q800000bX8BXIA0"
"a0JBK000002r89S2AQ","true","3002000019","","false","","","false","","","","","","","false","","","","","","","","","","--","ID00026524","","Inactive","","","","","","","false","","","a03Q800000bX89bIAC"
"a0JBK000002r89T2AQ","true","3002000022","","true","","","false","","","","","","","false","","","","","","","","","","--","30006240","","RR","","","","","","","false","","","a03Q800000bX8CwIAK"
"a0JBK000002r89U2AQ","true","3002000058","","true","","","false","","","","","","","false","","","","","","","","","","--","8657","","RR","","","","","","","false","","","a03Q800000bX8FFIA0"
"a0JBK000002r89V2AQ","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","127707","","RR","","","","","","","false","","","a03Q800000bX7yYIAS"
"a0JBK000002r89W2AQ","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","","","RR","","","","","","","false","","","a03Q800000bX8CwIAK"
"a0JBK000002r89X2AQ","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","24-5006","","RR","","","","","","","false","","","a03Q800000bX889IAC"
"a0JBK000002r89Y2AQ","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","123216","","RR","","","","","","","false","","","a03Q800000bX7yYIAS"
"a0JBK000002r89Z2AQ","true","3002000087","","true","","","false","","","","","","","false","","","","","","","","","","--","30006188","","RR","","","","","","","false","","","a03Q800000bX8CvIAK"
"a0JBK000002r89a2AA","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","30006408","","RR","","","","","","","false","","","a03Q800000bX8CwIAK"
"a0JBK000002r89b2AA","true","3002000029","","true","","","false","","","","","","","false","","","","","","","","","","--","ID00030225","","RR","","","","","","","false","","","a03Q800000bX89bIAC"
"a0JBK000002r89c2AA","true","","","true","","","false","","","","","","","false","","","","","","","","","","--","24-5048","","RR","","","","","","","false","","","a03Q800000bX889IAC"
"a0JBK000002r89d2AA","true","3002000077","","true","","","false","","","","","","","false","","","","","","","","","","--","39-X2-100918","","RR","","","","","","","false","","","a03Q800000bX8BXIA0"
"a0JBK000002r89e2AA","true","3002000059","","true","","","false","","","","","","","false","","","","","","","","","","--","30004998","","RR","","","","","","","false","","","a03Q800000bX8CwIAK"
"a0JBK000002r89f2AA","true","3002000069","","true","","","false","","","","","","","false","","","","","","","","","","--","1588","","RR","","","","","","","false","","","a03Q800000bX8FFIA0"
"a0JBK000002r89g2AA","true","","","false","","","false","","","","","","","false","","","","","","","","","","--","","","","","","","","","","false","","","a03Q800000bX889IAC"
