External_Id__c,Account_Name__c,Active__c,Asset_Level__c,Asset_Name__c,Competitor_Asset__c,Consequence_Of_Failure__c,Delivered_Date__c,Description__c,Digital_Asset_Status__c,InActive_Date__c,Install_Date__c,IsInternal__c,Manufacture_Date__c,Price__c,Product_Code__c,Product_Description__c,Product_Family__c,Purchase_Date__c,Quantity__c,Reminder_Date__c,SAP_Account_No__c,Search__c,Serial_Number__c,Status_Reason__c,Status__c,StockKeepingUnit__c,Usage_End_Date__c,Uuid__c,Agreement_Availability_Status__c,Agreement_Date__c,Approval_Date__c,Invalid__c,Issue_Date__c,Remarks__c,Product__c
,,true,,,false,,,,,,,false,,,,,,,,,,--,24-5048,,RR,,,,,,,false,,,a03Q800000bX889IAC
3002000077,,true,,,false,,,,,,,false,,,,,,,,,,--,39-X2-100918,,RR,,,,,,,false,,,a03Q800000bX8BXIA0
3002000059,,true,,,false,,,,,,,false,,,,,,,,,,--,30004998,,RR,,,,,,,false,,,a03Q800000bX8CwIAK
3002000069,,true,,,false,,,,,,,false,,,,,,,,,,--,1588,,RR,,,,,,,false,,,a03Q800000bX8FFIA0
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,,,,,,,,false,,,a03Q800000bX889IAC
3002000041,,true,,,false,,,,,,,false,,,,,,,,,,--,120754,,RR,,,,,,,false,,,a03Q800000bX7yZIAS
,,true,,,false,,,,,,,false,,,,,,,,,,--,C1420046,,RR,,,,,,,false,,,a03Q800000bX7yZIAS
3002000096,,true,,,false,,,,,,,false,,,,,,,,,,--,8673,,RR,,,,,,,false,,,a03Q800000bX8HtIAK
,,true,,,false,,,,,,,false,,,,,,,,,,--,,,RR,,,,,,,false,,,a03Q800000bX8HtIAK
3002000017,,true,,,false,,,,,,,false,,,,,,,,,,--,,,RR,,,,,,,false,,,a03Q800000bX889IAC
3002000099,,true,,,false,,,,,,,false,,,,,,,,,,--,ID00175847,,RR,,,,,,,false,,,a03Q800000bX89bIAC
3002000036,,true,,,false,,,,,,,false,,,,,,,,,,--,30006183,,RR,,,,,,,false,,,a03Q800000bX8CwIAK
3002000052,,true,,,false,,,,,,,false,,,,,,,,,,--,123019,,RR,,,,,,,false,,,a03Q800000bX7yYIAS
3002000053,,true,,,false,,,,,,,false,,,,,,,,,,--,123108,,RR,,,,,,,false,,,a03Q800000bX7yYIAS
3002000054,,true,,,false,,,,,,,false,,,,,,,,,,--,123109,,RR,,,,,,,false,,,a03Q800000bX7yYIAS
3002000055,,true,,,false,,,,,,,false,,,,,,,,,,--,123200,,RR,,,,,,,false,,,a03Q800000bX7yYIAS
3002000056,,true,,,false,,,,,,,false,,,,,,,,,,--,123217,,RR,,,,,,,false,,,a03Q800000bX7yYIAS
,,true,,,false,,,,,,,false,,,,,,,,,,--,,,RR,,,,,,,false,,,a03Q800000bX7yZIAS
3002000028,,true,,,false,,,,,,,false,,,,,,,,,,--,IA00096624,,RR,,,,,,,false,,,a03Q800000bX888IAC
3002000078,,true,,,false,,,,,,,false,,,,,,,,,,--,30004151,,RR,,,,,,,false,,,a03Q800000bX8CwIAK
3002000089,,true,,,false,,,,,,,false,,,,,,,,,,--,30006362,,RR,,,,,,,false,,,a03Q800000bX8CwIAK
,,true,,,false,,,,,,,false,,,,,,,,,,--,2024070199,,RR,,,,,,,false,,,a03Q800000bX8KtIAK
3002000104,,true,,,false,,,,,,,false,,,,,,,,,,--,P078240140C,,RR,,,,,,,false,,,a03Q800000bX8C3IAK
3002000098,,true,,,false,,,,,,,false,,,,,,,,,,--,IA00093422,,RR,,,,,,,false,,,a03Q800000bX888IAC
3002000105,,true,,,false,,,,,,,false,,,,,,,,,,--,24-5018,,RR,,,,,,,false,,,a03Q800000bX889IAC
3002000081,,true,,,false,,,,,,,false,,,,,,,,,,--,24-4068,,RR,,,,,,,false,,,a03Q800000bWuXmIAK
,,true,,,false,,,,,,,false,,,,,,,,,,--,,,RR,,,,,,,false,,,a03Q800000bX7yYIAS
3002000097,,true,,,false,,,,,,,false,,,,,,,,,,--,IA00146846,,RR,,,,,,,false,,,a03Q800000bX888IAC
,,true,,,false,,,,,,,false,,,,,,,,,,--,,,RR,,,,,,,false,,,a03Q800000bX7yYIAS
3002000076,,true,,,false,,,,,,,false,,,,,,,,,,--,24-4078,,RR,,,,,,,false,,,a03Q800000bWuXmIAK
,,true,,,false,,,,,,,false,,,,,,,,,,--,FC10330839,,RR,,,,,,,false,,,a03Q800000bX8JDIA0
,,true,,,false,,,,,,,false,,,,,,,,,,--,,,RR,,,,,,,false,,,a03Q800000bX7yYIAS
,,true,,,false,,,,,,,false,,,,,,,,,,--,24-4077,,RR,,,,,,,false,,,a03Q800000bWuXmIAK
,,true,,,false,,,,,,,false,,,,,,,,,,--,123120,,RR,,,,,,,false,,,a03Q800000bX7yYIAS
,,true,,,false,,,,,,,false,,,,,,,,,,--,,,RR,,,,,,,false,,,a03Q800000bX7yYIAS
,,true,,,false,,,,,,,false,,,,,,,,,,--,23-4166,,RR,,,,,,,false,,,a03Q800000bWuXmIAK
,,true,,,false,,,,,,,false,,,,,,,,,,--,FC10330939,,RR,,,,,,,false,,,a03Q800000bX8JDIA0
3002000001,,true,,,false,,,,,,,false,,,,,,,,,,--,22-5003,,RR,,,,,,,false,,,a03Q800000bX889IAC
,,true,,,false,,,,,,,false,,,,,,,,,,--,DM11052437001,,RR,,,,,,,false,,,a03Q800000bX8JFIA0
,,true,,,false,,,,,,,false,,,,,,,,,,--,24-5032,,RR,,,,,,,false,,,a03Q800000bX889IAC
3002000108,,true,,,false,,,,,,,false,,,,,,,,,,--,ID00082632,,RR,,,,,,,false,,,a03Q800000bX89bIAC
3002000018,,true,,,false,,,,,,,false,,,,,,,,2026-04-01,,--,22-5026,,RR,,,,,,,false,,,a03Q800000bX889IAC
3002000103,,true,,,false,,,,,,,false,,,,,,,,,,--,3279-2-202108,,RR,,,,,,,false,,,a03Q800000bX8BYIA0
3002000093,,true,,,false,,,,,,,false,,,,,,,,,,--,TE11042147003,,RR,,,,,,,false,,,a03Q800000bX83CIAS
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,,,,,,,,false,,,a03Q800000bX8CwIAK
,,true,,,false,,,,,,,false,,,,,,,,,,--,,,RR,,,,,,,false,,,a03Q800000bX8CwIAK
,,true,,,false,,,,,,,false,,,,,,,,,,--,,,RR,,,,,,,false,,,a03Q800000bX8CwIAK
,,true,,,false,,,,,,,false,,,,,,,,,,--,,,RR,,,,,,,false,,,a03Q800000bX8FGIA0
,,true,,,false,,,,,,,false,,,,,,,,,,--,,,RR,,,,,,,false,,,a03Q800000bX8BYIA0
3002000091,,true,,,false,,,,,,,false,,,,,,,,,,--,1590,,RR,,,,,,,false,,,a03Q800000bX8FFIA0
,,true,,,false,,,,,,,false,,,,,,,,,,--,,,RR,,,,,,,false,,,a03Q800000bX89bIAC
,,true,,,false,,,,,,,false,,,,,,,,,,--,,,RR,,,,,,,false,,,a03Q800000bX8JDIA0
,,true,,,false,,,,,,,false,,,,,,,,,,--,,,RR,,,,,,,false,,,a03Q800000bX8BYIA0
,,true,,,false,,,,,,,false,,,,,,,,,,--,,,RR,,,,,,,false,,,a03Q800000bX8JFIA0
,,true,,,false,,,,,,,false,,,,,,,,,,--,,,RR,,,,,,,false,,,a03Q800000bX7yYIAS
,,true,,,false,,,,,,,false,,,,,,,,,,--,,,RR,,,,,,,false,,,a03Q800000bX89bIAC
,,true,,,false,,,,,,,false,,,,,,,,,,--,,,RR,,,,,,,false,,,a03Q800000bX8C3IAK
,,true,,,false,,,,,,,false,,,,,,,,,,--,1746,,RR,,,,,,,false,,,a03Q800000bX8FFIA0
,,true,,,false,,,,,,,false,,,,,,,,2025-11-18,,--,9272-2-202405,,RR,,,,,,,false,,,a03Q800000bX8BYIA0
,,true,,,false,,,,,,,false,,,,,,,,2025-11-18,,--,127708,,Invoiced/Sold,,,,,,,false,,,a03Q800000bX7yZIAS
,,false,,,false,,,,,,,false,,,,,,,,,,--,2,,,,,,,,,false,,,a03Q800000bX87hIAC
,,false,,,false,,,,,,,false,,,,,,,,,,--,1,,,,,,,,,false,,,a03Q800000bX87hIAC
,,true,,,false,,,,,,,false,,,,,,,,,,--,1614,,RR,,,,,,,false,,,a03Q800000bX8FFIA0
,,true,,,false,,,,,,,false,,,,,,,,,,--,25-1604,,Invoiced/Sold,,,,,,,false,,,a03Q800000bWuXmIAK
,,false,,,false,,,,,,,false,,,,,,,,,,--,1253808002701,,,,,,,,,false,,,a03Q800000bX8FEIA0
,,true,,,false,,,,,,,false,,,,,,,,2025-12-01,,--,8923-2-202401,,Invoiced/Sold,,,,,,,false,,,a03Q800000bX8BYIA0
,,false,,,false,,,,,,,false,,,,,,,,,,--,1,,,,,,,,,false,,,a03Q800000bX89JIAS
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX888IAC
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX8LBIA0
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX8HwIAK
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX8HxIAK
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bWzlVIAS
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX889IAC
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX87vIAC
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX880IAC
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX883IAC
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX881IAC
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX882IAC
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX8AAIA0
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX886IAC
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX8JDIA0
,,false,,,false,,,,,,,false,,,,,,,,,,--,1,,,,,,,,,false,,,a03Q800000bWuX7IAK
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bWuXmIAK
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX7yYIAS
,,true,,,false,,,,,,,false,,,,,,,,2025-12-30,,--,128456,,Invoiced/Sold,,,,,,,false,,,a03Q800000bX7yYIAS
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX83CIAS
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX8BYIA0
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX7SvIAK
,,true,,,false,,,,,,,false,,,,,,,,2026-01-06,,--,1412070006110,,Invoiced/Sold,,,,,,,false,,,a03Q800000bX8FEIA0
,,true,,,false,,,,,,,false,,,,,,,,,,--,16-7421,,Invoiced/Sold,,,,,,,false,,,a03Q800000bSA2NIAW
,,true,,,false,,,,,,,false,,,,,,,,,,--,126305,,Invoiced/Sold,,,,,,,false,,,a03Q800000bX7yZIAS
,,true,,,false,,,,,,,false,,,,,,,,2026-01-26,,--,ID0025535A,,Demo,,,,,,,false,,,a03Q800000bX89bIAC
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX889IAC
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX8BVIA0
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX8BVIA0
15002668,,true,,,false,,,,,,,false,,,,,,,,,,--,E0672-41-300621,,RR,,,,,,,false,,,a03Q800000bX8BSIA0
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX8JFIA0
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX8JFIA0
,,false,,,false,,,,,,,false,,,,,,,,,,--,128458,,,,,,,,,false,,,a03Q800000bX7yYIAS
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX7yZIAS
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX7yYIAS
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX89bIAC
,,true,,,false,,,,,,,false,,,,,,,,,,--,10-7447,,Invoiced/Sold,,,,,,,false,,,a03Q800000bSA2NIAW
,,true,,,false,,,,,,,false,,,,,,,,,,--,25-1603,,Invoiced/Sold,,,,,,,false,,,a03Q800000bWuXmIAK
,,true,,,false,,,,,,,false,,,,,,,,,,--,5804-2-203302,,Invoiced/Sold,,,,,,,false,,,a03Q800000bX8BYIA0
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX8BYIA0
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX8L2IAK
,,true,,,false,,,,,,,false,,,,,,,,2026-03-10,,--,25-47831,,Demo,,,,,,,false,,,a03Q800000bX7SvIAK
,,true,,,false,,,,,,,false,,,,,,,,,,--,123021,,Invoiced/Sold,,,,,,,false,,,a03Q800000bX7yYIAS
,,true,,,false,,,,,,,false,,,,,,,,,,--,12-5048,,Invoiced/Sold,,,,,,,false,,,a03Q800000bX7SvIAK
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX89aIAC
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bWavgIAC
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX8BYIA0
,,true,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bWasyIAC
,,true,,,false,,,,,,,false,,,,,,,,,,--,126054,,RR,,,,,,,false,,,a03Q800000bX7yYIAS
3002000093,,true,,,false,,,,,,,false,,,,,,,,,,--,TE11042147003,,RR,,,,,,,false,,,a03Q800000bX83CIAS
,,false,,,false,,,,,,,false,,,,,,,,,,--,122534,,,,,,,,,false,,,a03Q800000bX7yYIAS
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX889IAC
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bWavgIAC
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX89aIAC
,,true,,,false,,,,,,,false,,,,,,,,2026-04-30,,--,1111,,Demo,,,,,,,false,,,a03Q800000bX8JGIA0