BC Number,Salesforce Id,Vendor Code,Vendor Name,Technology Code,Technology Name,Customer Number,Customer Name (SF),SAP Asset Number,Serial Number,Status,Is Master
BCN-000000004,a0BQ800000LhYtZMAV,,,,,,,,,Active,False
BCN-000000006,a0BQ800000Lo4AnMAJ,,,,,,,,,New,False
BCN-000000164,a0BQ800000O2aXpMAJ,ER,Erba,COAG,Coagulation,3020001175,,,E0672-41-300621,New,False
BCN-000000165,a0BQ800000O2aXqMAJ,ER,Erba,COAG,Coagulation,3020001175,,,E0672-41-300621,New,False
BCN-000000166,a0BQ800000O2aXrMAJ,NV,Nova,ABG,Arterial Blood Gas,3020001475,,,P078240080C,Active,False
BCN-000000167,a0BQ800000O2aXsMAJ,OR,OCD,IMA,Immunoassay,3020000477,,,30006238,Revised,False
BCN-000000168,a0BQ800000O2aXtMAJ,OR,OCD,IMA,Immunoassay,3020000477,,,30006243,Revised,False
BCN-000000169,a0BQ800000O2aXuMAJ,NV,Nova,ABG,Arterial Blood Gas,3020000881,,,P072230210C,Active,False
BCN-000000170,a0BQ800000O2aXvMAJ,STA,Stago,COAG,Coagulation,3020000881,,,1613,New Active,False
BCN-000000171,a0BQ800000O2aXwMAJ,YHLO,YHLO,IMA,Immunoassay,3020000491,,,IA00093322,Active,False
BCN-000000172,a0BQ800000O2aXxMAJ,A,Boule,HM,Hematology,3020001042,,,TE11042147005,New Active,False
BCN-000000173,a0BQ800000O2aXyMAJ,STA,Stago,COAG,Coagulation,3020000170,,,1746,Active,False
BCN-000000174,a0BQ800000O2aXzMAJ,OR,OCD,IMA,Immunoassay,3020000439,,,30004829,Revised,False
BCN-000000175,a0BQ800000O2aY0MAJ,ZYB,ZYBIO,URIN,Urinalysis,,,,3.24E+11,New,False
BCN-000000176,a0BQ800000O2aY1MAJ,STA,Stago,COAG,Coagulation,,,,1614,New Active,False
BCN-000000177,a0BQ800000O2aY2MAJ,YHLO,YHLO,IMA,Immunoassay,3020000491,,,IA00093322,New,False
BCN-000000178,a0BQ800000O2aY3MAJ,E,VitalScientific,CC,Clinical Chemistry,3020001042,,,20-4085,New,False
BCN-000000179,a0BQ800000O2aY4MAJ,A,Boule,HM,Hematology,,,,,New,False
BCN-000000180,a0BQ800000O2aY5MAJ,A,Boule,HM,Hematology,3020000515,,,104282,New Active,False
BCN-000000181,a0BQ800000O2aY6MAJ,YHLO,YHLO,IMA,Immunoassay,3020000539,,,IA00093122,Active 1,False
BCN-000000182,a0BQ800000O2aY7MAJ,STA,Stago,COAG,Coagulation,,,,,Active,False
BCN-000000183,a0BQ800000O2aY8MAJ,E,VitalScientific,CC,Clinical Chemistry,3020001192,,,21-5017,Active,False
BCN-000000184,a0BQ800000O2aY9MAJ,YHLO,YHLO,IMA,Immunoassay,3020000764,,,ID00152044,New,False
BCN-000000185,a0BQ800000O2aYAMAZ,YHLO,YHLO,IMA,Immunoassay,3020000447,,,IA00092922,Active,False
BCN-000000186,a0BQ800000O2aYBMAZ,A,Boule,HM,Hematology,3020000753,,,,Active,False
BCN-000000187,a0BQ800000O2aYCMAZ,YHLO,YHLO,IMA,Immunoassay,3020001748,,,ID00176348,Active,False
BCN-000000188,a0BQ800000O2aYDMAZ,E,VitalScientific,CC,Clinical Chemistry,3020000692,,,,Revised,False
BCN-000000189,a0BQ800000O2aYEMAZ,ER,Erba,COAG,Coagulation,3020000692,,,56-71-160517,Active,False
BCN-000000190,a0BQ800000O2aYFMAZ,YHLO,YHLO,IMA,Immunoassay,3020000917,,,ID00081331,Active 1,False
BCN-000000191,a0BQ800000O2aYGMAZ,E,VitalScientific,CC,Clinical Chemistry,3020000917,,,,Active,False
BCN-000000192,a0BQ800000O2aYHMAZ,OR,OCD,IMA,Immunoassay,3020000917,,,36001565,Revised,False
BCN-000000193,a0BQ800000O2aYIMAZ,YHLO,YHLO,IMA,Immunoassay,3020000013,,,IA00093222,Active,False
BCN-000000194,a0BQ800000O2aYJMAZ,DYM,Dymind,HM,Hematology,,,,DM11052437004,Active,False
BCN-000000195,a0BQ800000O2aYKMAZ,E,VitalScientific,CC,Clinical Chemistry,3020000022,,,21-4087,Active,False
BCN-000000196,a0BQ800000O2aYLMAZ,OR,OCD,IMA,Immunoassay,3020001748,,,30006326,Revised Quetta,False
BCN-000000197,a0BQ800000O2aYMMAZ,ER,Erba,URIN,Urinalysis,3020000394,,,,New,False
BCN-000000198,a0BQ800000O2aYNMAZ,ER,Erba,URIN,Urinalysis,3020000719,,,27-x2-130818,Active,False
BCN-000000199,a0BQ800000O2aYOMAZ,OR,OCD,IMA,Immunoassay,3020001479,,,,New,False
BCN-000000200,a0BQ800000O2aYPMAZ,DYM,Dymind,HM,Hematology,3020000823,,,DM11052408003,New Active,False
BCN-000000201,a0BQ800000O2aYQMAZ,NV,Nova,ABG,Arterial Blood Gas,3020000823,,,,New,False
BCN-000000202,a0BQ800000O2aYRMAZ,YHLO,YHLO,IMA,Immunoassay,3020001748,,,ID00175747,Active,False
BCN-000000203,a0BQ800000O2aYSMAZ,YHLO,YHLO,IMA,Immunoassay,3020000771,,,ID00175547,New,False
BCN-000000204,a0BQ800000O2aYTMAZ,OR,OCD,IMA,Immunoassay,3020000771,,,36001150,Active / Closed,False
BCN-000000205,a0BQ800000O2aYUMAZ,YHLO,YHLO,IMA,Immunoassay,3020001748,,,ID00093734,Active,False
BCN-000000206,a0BQ800000O2aYVMAZ,YHLO,YHLO,IMA,Immunoassay,,,,,New,False
BCN-000000207,a0BQ800000O2aYWMAZ,YHLO,YHLO,IMA,Immunoassay,,,,IA00147046,New,False
BCN-000000208,a0BQ800000O2aYXMAZ,E,VitalScientific,CC,Clinical Chemistry,3020000386,,,,New,False
BCN-000000209,a0BQ800000O2aYYMAZ,YHLO,YHLO,IMA,Immunoassay,3020000386,,,IA00146946,New,False
BCN-000000210,a0BQ800000O2aYZMAZ,YHLO,YHLO,IMA,Immunoassay,3020000605,,,ID00176648,Active,False
BCN-000000211,a0BQ800000O2aYaMAJ,A,Boule,HM,Hematology,3020001511,,,122534,Active,False
BCN-000000212,a0BQ800000O2aYbMAJ,ER,Erba,COAG,Coagulation,3020001511,,,E0848-11-140423,Active,False
BCN-000000213,a0BQ800000O2aYcMAJ,ER,Erba,URIN,Urinalysis,3020001511,,,10477-1-202306,Active,False
BCN-000000214,a0BQ800000O2aYdMAJ,ER,Erba,ELCT,Analyzer,3020001511,,,6909-2-202305,Active,False
BCN-000000215,a0BQ800000O2aYeMAJ,E,VitalScientific,CC,Clinical Chemistry,3020001511,,,23-46854,Active,False
BCN-000000216,a0BQ800000O2aYfMAJ,ER,Erba,ELCT,Analyzer,3020001511,,,,New,False
BCN-000000217,a0BQ800000O2aYgMAJ,YHLO,YHLO,IMA,Immunoassay,3020001384,,,ID000949341,New,False
BCN-000000218,a0BQ800000O2aYhMAJ,ER,Erba,URIN,Urinalysis,3020001552,,,898-1-202110,Active,False
BCN-000000219,a0BQ800000O2aYiMAJ,ER,Erba,URIN,Urinalysis,3020001552,,,897-1-202110,Active,False
BCN-000000220,a0BQ800000O2aYjMAJ,ER,Erba,URIN,Urinalysis,3020001552,,,106-X2-260419,New,False
BCN-000000221,a0BQ800000O2aYkMAJ,ER,Erba,URIN,Urinalysis,3020001552,,,202-X2-120520,New,False
BCN-000000222,a0BQ800000O2aYlMAJ,STA,Stago,COAG,Coagulation,3020001552,,,8657,Active 1,False
BCN-000000223,a0BQ800000O2aYmMAJ,A,Boule,HM,Hematology,,,,127707,New,False
BCN-000000224,a0BQ800000O2aYnMAJ,OR,OCD,IMA,Immunoassay,3020001811,,,,New,False
BCN-000000225,a0BQ800000O2aYoMAJ,E,VitalScientific,CC,Clinical Chemistry,3020000736,,,24-5006,Active,False
BCN-000000226,a0BQ800000O2aYpMAJ,A,Boule,HM,Hematology,3020000736,,,123216,Active,False
BCN-000000227,a0BQ800000O2aYqMAJ,OR,OCD,IMA,Immunoassay,3020001748,,,30006248,Revised Quetta,False
BCN-000000228,a0BQ800000O2aYrMAJ,OR,OCD,IMA,Immunoassay,3020000936,,,30006188,Active,False
BCN-000000229,a0BQ800000O2aYsMAJ,OR,OCD,IMA,Immunoassay,,,,30006408,New,False
BCN-000000230,a0BQ800000O2aYtMAJ,YHLO,YHLO,IMA,Immunoassay,3020000816,,,ID00030225,Active,False
BCN-000000231,a0BQ800000O2aYuMAJ,OR,OCD,IMA,Immunoassay,,,,30006181,Active,False
BCN-000000232,a0BQ800000O2aYvMAJ,E,VitalScientific,CC,Clinical Chemistry,,,,24-5048,Active,False
BCN-000000233,a0BQ800000O2aYwMAJ,ER,Erba,URIN,Urinalysis,3020000734,,,39-X2-100918,Active,False
BCN-000000234,a0BQ800000O2aYxMAJ,OR,OCD,IMA,Immunoassay,3020000206,,,30004998,Active,False
BCN-000000235,a0BQ800000O2aYyMAJ,STA,Stago,COAG,Coagulation,3020000845,,,1588,Active,False
BCN-000000236,a0BQ800000O2aYzMAJ,A,Boule,HM,Hematology,3020001067,,,120754,Active,False
BCN-000000237,a0BQ800000O2aZ0MAJ,A,Boule,HM,Hematology,3020001067,,,C1420046,Revised,False
BCN-000000238,a0BQ800000O2aZ1MAJ,STA,Stago,COAG,Coagulation,3020001067,,,8673,Active,False
BCN-000000239,a0BQ800000O2aZ2MAJ,STA,Stago,COAG,Coagulation,3020001067,,,,Active,False
BCN-000000240,a0BQ800000O2aZ3MAJ,E,VitalScientific,CC,Clinical Chemistry,3020001047,,,,Revised,False
BCN-000000241,a0BQ800000O2aZ4MAJ,YHLO,YHLO,IMA,Immunoassay,,,,ID00175847,New Active,False
BCN-000000242,a0BQ800000O2aZ5MAJ,OR,OCD,IMA,Immunoassay,3020000547,,,30006173,Active,False
BCN-000000243,a0BQ800000O2aZ6MAJ,OR,OCD,IMA,Immunoassay,3020000547,,,30006183,Active,False
BCN-000000244,a0BQ800000O2aZ7MAJ,A,Boule,HM,Hematology,3020000166,,,123019,Active,False
BCN-000000245,a0BQ800000O2aZ8MAJ,A,Boule,HM,Hematology,3020000166,,,123108,Active,False
BCN-000000246,a0BQ800000O2aZ9MAJ,A,Boule,HM,Hematology,3020000166,,,123109,Active,False
BCN-000000247,a0BQ800000O2aZAMAZ,A,Boule,HM,Hematology,3020000166,,,123200,Active,False
BCN-000000248,a0BQ800000O2aZBMAZ,A,Boule,HM,Hematology,3020000166,,,123217,Active,False
BCN-000000249,a0BQ800000O2aZCMAZ,A,Boule,HM,Hematology,3020000166,,,,New,False
BCN-000000250,a0BQ800000O2aZDMAZ,YHLO,YHLO,IMA,Immunoassay,3020001141,,,IA00096624,Active,False
BCN-000000251,a0BQ800000O2aZEMAZ,OR,OCD,IMA,Immunoassay,3020001748,,,30006249,Revised Quetta,False
BCN-000000252,a0BQ800000O2aZFMAZ,OR,OCD,IMA,Immunoassay,3020001748,,,30004151,Active,False
BCN-000000253,a0BQ800000O2aZGMAZ,OR,OCD,IMA,Immunoassay,3020001748,,,30006362,Active,False
BCN-000000254,a0BQ800000O2aZHMAZ,HW,Headway,UBT,Urea Breath Test,3020001399,,,2024070199,New,False
BCN-000000255,a0BQ800000O2aZIMAZ,NV,Nova,ABG,Arterial Blood Gas,3020001399,,,P078240140C,New,False
BCN-000000256,a0BQ800000O2aZJMAZ,YHLO,YHLO,IMA,Immunoassay,3020001809,,,IA00093422,New,False
BCN-000000257,a0BQ800000O2aZKMAZ,E,VitalScientific,CC,Clinical Chemistry,3020001221,,,24-5018,New,False
BCN-000000258,a0BQ800000O2aZLMAZ,E,VitalScientific,CC,Clinical Chemistry,3020000084,,,24-4068,Active,False
BCN-000000259,a0BQ800000O2aZMMAZ,A,Boule,HM,Hematology,3020000084,,,,Active,False
BCN-000000260,a0BQ800000O2aZNMAZ,YHLO,YHLO,IMA,Immunoassay,3020000084,,,IA00146846,New Active,False
BCN-000000261,a0BQ800000O2aZOMAZ,A,Boule,HM,Hematology,3020000084,,,,Active,False
BCN-000000262,a0BQ800000O2aZPMAZ,E,VitalScientific,CC,Clinical Chemistry,3020000084,,,24-4078,Active,False
BCN-000000263,a0BQ800000O2aZQMAZ,YHLO,YHLO,IMA,Immunoassay,3020000084,,,FC10330839,New Active,False
BCN-000000264,a0BQ800000O2aZRMAZ,A,Boule,HM,Hematology,3020000084,,,,Active,False
BCN-000000265,a0BQ800000O2aZSMAZ,E,VitalScientific,CC,Clinical Chemistry,3020000084,,,24-4077,Active,False
BCN-000000266,a0BQ800000O2aZTMAZ,A,Boule,HM,Hematology,3020000084,,,123120,Active,False
BCN-000000267,a0BQ800000O2aZUMAZ,A,Boule,HM,Hematology,3020000084,,,,Active,False
BCN-000000268,a0BQ800000O2aZVMAZ,E,VitalScientific,CC,Clinical Chemistry,3020000084,,,23-4166,Active,False
BCN-000000269,a0BQ800000O2aZWMAZ,YHLO,YHLO,IMA,Immunoassay,3020000084,,,FC10330939,New Active,False
BCN-000000270,a0BQ800000O2aZXMAZ,E,VitalScientific,CC,Clinical Chemistry,3020001237,,,22-5003,Active,False
BCN-000000271,a0BQ800000O2aZYMAZ,DYM,Dymind,HM,Hematology,3020001237,,,DM11052437001,Active,False
BCN-000000272,a0BQ800000O2aZZMAZ,E,VitalScientific,CC,Clinical Chemistry,3020001224,,,24-5032,Active,False
BCN-000000273,a0BQ800000O2aZaMAJ,YHLO,YHLO,IMA,Immunoassay,3020001748,,,ID00082632,Active,False
BCN-000000274,a0BQ800000O2aZbMAJ,YHLO,YHLO,IMA,Immunoassay,3020001280,,,IA00096724,Active,False
BCN-000000275,a0BQ800000O2aZcMAJ,E,VitalScientific,CC,Clinical Chemistry,3020000633,,,22-5026,Active / Completed,False
BCN-000000276,a0BQ800000O2aZdMAJ,ER,Erba,ELCT,Analyzer,3020000633,,,3279-2-202108,New,False
BCN-000000277,a0BQ800000O2aZeMAJ,B,Boule,HM,Hematology,3020000209,,,TE11042147003,Active,False
BCN-000000278,a0BQ800000O2aZfMAJ,OR,OCD,IMA,Immunoassay,3020001748,,,30006240,Revised Quetta,False
BCN-000000279,a0BQ800000O2aZgMAJ,OR,OCD,IMA,Immunoassay,,,,,New,False
BCN-000000280,a0BQ800000O2aZhMAJ,OR,OCD,IMA,Immunoassay,,,,,New,False
BCN-000000281,a0BQ800000O2aZiMAJ,STA,Stago,COAG,Coagulation,,,,,New,False
BCN-000000282,a0BQ800000O2aZjMAJ,ER,Erba,ELCT,Analyzer,3020001230,,,,New,False
BCN-000000283,a0BQ800000O2aZkMAJ,STA,Stago,COAG,Coagulation,3020000088,,,1590,Active,False
BCN-000000284,a0BQ800000O2aZlMAJ,YHLO,YHLO,IMA,Immunoassay,3020001280,,,,New,False
BCN-000000285,a0BQ800000O2aZmMAJ,YHLO,YHLO,IMA,Immunoassay,3020001280,,,,New,False
BCN-000000286,a0BQ800000O2aZnMAJ,ER,Erba,ELCT,Analyzer,,,,,New,False
BCN-000000287,a0BQ800000O2aZoMAJ,DYM,Dymind,HM,Hematology,3020000206,,,,New,False
BCN-000000288,a0BQ800000O2aZpMAJ,A,Boule,HM,Hematology,3020000206,,,,New,False
BCN-000000289,a0BQ800000O2aZqMAJ,YHLO,YHLO,IMA,Immunoassay,3020001280,,,,New,False
BCN-000000290,a0BQ800000O2aZrMAJ,NV,Nova,ABG,Arterial Blood Gas,3020001092,,,,New,False
BCN-000000291,a0BQ800000O2aZsMAJ,OR,OCD,IMA,Immunoassay,3020000477,,,30006238,Closed,False
BCN-000000292,a0BQ800000O2aZtMAJ,OR,OCD,IMA,Immunoassay,3020000477,,,30006243,Closed,False
BCN-000000293,a0BQ800000O2aZuMAJ,OR,OCD,IMA,Immunoassay,3020000439,,,30004829,Closed,False
BCN-000000294,a0BQ800000O2aZvMAJ,NV,Nova,ABG,Arterial Blood Gas,3020000190,,,#PP13230140C,Closed 1,False
BCN-000000295,a0BQ800000O2aZwMAJ,E,VitalScientific,CC,Clinical Chemistry,3020000692,,,22-5015,Closed,False
BCN-000000296,a0BQ800000O2aZxMAJ,OR,OCD,IMA,Immunoassay,3020000917,,,36001565,Closed,False
BCN-000000297,a0BQ800000O2aZyMAJ,OR,OCD,IMA,Immunoassay,3020001748,,,36000907,Closed Quetta,False
BCN-000000298,a0BQ800000O2aZzMAJ,OR,OCD,IMA,Immunoassay,3020000072,,,30006181,Closed,False
BCN-000000299,a0BQ800000O2aa0MAB,YHLO,YHLO,IMA,Immunoassay,,,,IA00096724,Closed,False
BCN-000000300,a0BQ800000O2aa1MAB,ER,Erba,ELCT,Analyzer,3020001255,,,5782-2-202302,Closed,False
BCN-000000301,a0BQ800000O2aa2MAB,ER,Erba,ELCT,Analyzer,3020001255,,,4286-2-202208,Closed,False
BCN-000000302,a0BQ800000O2aa3MAB,YHLO,YHLO,IMA,Immunoassay,3020000888,,,ID00026724,Closed 1,False
BCN-000000303,a0BQ800000O2aa4MAB,OR,OCD,IMA,Immunoassay,3020000888,,,30006173,Closed,False
BCN-000000304,a0BQ800000O2aa5MAB,A,Boule,HM,Hematology,3020001382,,,121495,Closed,False
BCN-000000305,a0BQ800000O2aa6MAB,A,Boule,HM,Hematology,3020001382,,,121496,Closed,False
BCN-000000306,a0BQ800000O2aa7MAB,A,Boule,HM,Hematology,3020001382,,,122531,Closed,False
BCN-000000307,a0BQ800000O2aa8MAB,A,Boule,HM,Hematology,3020001382,,,123197,Closed,False
BCN-000000308,a0BQ800000O2aa9MAB,A,Boule,HM,Hematology,3020001382,,,121497,Closed,False
BCN-000000309,a0BQ800000O2aaAMAR,OR,OCD,IMA,Immunoassay,3020001748,,,30006248,Closed Quetta,False
BCN-000000310,a0BQ800000O2aaBMAR,STA,Stago,COAG,Coagulation,3020001019,,,,Closed,False
BCN-000000311,a0BQ800000O2aaCMAR,YHLO,YHLO,IMA,Immunoassay,,,,IA00092922,Closed 1,False
BCN-000000312,a0BQ800000O2aaDMAR,E,VitalScientific,CC,Clinical Chemistry,3020001047,,,22-5023,Closed,False
BCN-000000313,a0BQ800000O2aaEMAR,E,VitalScientific,CC,Clinical Chemistry,3020000701,,,22-5016,Closed,False
BCN-000000314,a0BQ800000O2aaFMAR,OR,OCD,IMA,Immunoassay,3020001238,,,30006187,Closed,False
BCN-000000315,a0BQ800000O2aaGMAR,OR,OCD,IMA,Immunoassay,3020001748,,,30006249,Closed Quetta,False
BCN-000000316,a0BQ800000O2aaHMAR,ER,Erba,URIN,Urinalysis,,,,0034-X2-230818,Closed,False
BCN-000000317,a0BQ800000O2aaIMAR,YHLO,YHLO,IMA,Immunoassay,3020000943,,,ID00026524,Closed,False
BCN-000000318,a0BQ800000O2aaJMAR,OR,OCD,IMA,Immunoassay,3020001748,,,30006240,Closed Quetta,False
BCN-000000319,a0BQ800000O2aaKMAR,YHLO,YHLO,IMA,Immunoassay,3020001430,,,IA00093422,Active,False
BCN-000000343,a0BQ800000UmqavMAB,,,,,,,,,Active,False
BCN-000000344,a0BQ800000UmhNyMAJ,,,,,,,,,Active,False
BCN-000000346,a0BQ800000VG0GjMAL,,,,,,,3002000093,,Active,False
BCN-000000347,a0BQ800000VoxUTMAZ,,,,,,,,,Active,False
