Type,BC Number,Salesforce Id,Vendor Code,Vendor Name,Technology Code,Technology Name,Customer Number,Customer Name,Status,Parent Master BC
MASTER,BCN-000000320,a0BQ800000O2apZMAR,OR,OCD,IMA,Immunoassay,3020000477,Aga Khan Hospital & Medical College,Revised,
child,BCN-000000167,a0BQ800000O2aXsMAJ,OR,OCD,IMA,Immunoassay,3020000477,,Revised,BCN-000000320
child,BCN-000000168,a0BQ800000O2aXtMAJ,OR,OCD,IMA,Immunoassay,3020000477,,Revised,BCN-000000320
child,BCN-000000291,a0BQ800000O2aZsMAJ,OR,OCD,IMA,Immunoassay,3020000477,,Closed,BCN-000000320
child,BCN-000000292,a0BQ800000O2aZtMAJ,OR,OCD,IMA,Immunoassay,3020000477,,Closed,BCN-000000320
MASTER,BCN-000000321,a0BQ800000O2b45MAB,YHLO,YHLO,IMA,Immunoassay,3020000491,Al Khidmat Diagnostic Center Faisal,New,
child,BCN-000000171,a0BQ800000O2aXwMAJ,YHLO,YHLO,IMA,Immunoassay,3020000491,,Active,BCN-000000321
child,BCN-000000177,a0BQ800000O2aY2MAJ,YHLO,YHLO,IMA,Immunoassay,3020000491,,New,BCN-000000321
MASTER,BCN-000000322,a0BQ800000O2bDlMAJ,YHLO,YHLO,IMA,Immunoassay,3020001748,Jamal Brothers Enterprises,Active,
child,BCN-000000187,a0BQ800000O2aYCMAZ,YHLO,YHLO,IMA,Immunoassay,3020001748,,Active,BCN-000000322
child,BCN-000000202,a0BQ800000O2aYRMAZ,YHLO,YHLO,IMA,Immunoassay,3020001748,,Active,BCN-000000322
child,BCN-000000205,a0BQ800000O2aYUMAZ,YHLO,YHLO,IMA,Immunoassay,3020001748,,Active,BCN-000000322
child,BCN-000000273,a0BQ800000O2aZaMAJ,YHLO,YHLO,IMA,Immunoassay,3020001748,,Active,BCN-000000322
MASTER,BCN-000000323,a0BQ800000O2bGzMAJ,OR,OCD,IMA,Immunoassay,3020001748,Jamal Brothers Enterprises,Revised Quetta,
child,BCN-000000196,a0BQ800000O2aYLMAZ,OR,OCD,IMA,Immunoassay,3020001748,,Revised Quetta,BCN-000000323
child,BCN-000000227,a0BQ800000O2aYqMAJ,OR,OCD,IMA,Immunoassay,3020001748,,Revised Quetta,BCN-000000323
child,BCN-000000251,a0BQ800000O2aZEMAZ,OR,OCD,IMA,Immunoassay,3020001748,,Revised Quetta,BCN-000000323
child,BCN-000000252,a0BQ800000O2aZFMAZ,OR,OCD,IMA,Immunoassay,3020001748,,Active,BCN-000000323
child,BCN-000000253,a0BQ800000O2aZGMAZ,OR,OCD,IMA,Immunoassay,3020001748,,Active,BCN-000000323
child,BCN-000000278,a0BQ800000O2aZfMAJ,OR,OCD,IMA,Immunoassay,3020001748,,Revised Quetta,BCN-000000323
child,BCN-000000309,a0BQ800000O2aaAMAR,OR,OCD,IMA,Immunoassay,3020001748,,Closed Quetta,BCN-000000323
child,BCN-000000315,a0BQ800000O2aaGMAR,OR,OCD,IMA,Immunoassay,3020001748,,Closed Quetta,BCN-000000323
child,BCN-000000318,a0BQ800000O2aaJMAR,OR,OCD,IMA,Immunoassay,3020001748,,Closed Quetta,BCN-000000323
MASTER,BCN-000000324,a0BQ800000O2YiwMAF,ER,Erba,ELCT,Analyzer,3020001511,Indus Hospital & Health Network,New,
child,BCN-000000214,a0BQ800000O2aYdMAJ,ER,Erba,ELCT,Analyzer,3020001511,,Active,BCN-000000324
child,BCN-000000216,a0BQ800000O2aYfMAJ,ER,Erba,ELCT,Analyzer,3020001511,,New,BCN-000000324
MASTER,BCN-000000325,a0BQ800000O2bNRMAZ,ER,Erba,URIN,Urinalysis,3020001552,MHK Enterprises,New,
child,BCN-000000220,a0BQ800000O2aYjMAJ,ER,Erba,URIN,Urinalysis,3020001552,,New,BCN-000000325
child,BCN-000000221,a0BQ800000O2aYkMAJ,ER,Erba,URIN,Urinalysis,3020001552,,New,BCN-000000325
MASTER,BCN-000000326,a0BQ800000O2bQfMAJ,ER,Erba,URIN,Urinalysis,3020001552,MHK Enterprises,Active,
child,BCN-000000218,a0BQ800000O2aYhMAJ,ER,Erba,URIN,Urinalysis,3020001552,,Active,BCN-000000326
child,BCN-000000219,a0BQ800000O2aYiMAJ,ER,Erba,URIN,Urinalysis,3020001552,,Active,BCN-000000326
MASTER,BCN-000000327,a0BQ800000O2bTtMAJ,A,Boule,HM,Hematology,3020001067,National Institute of Cardio Vescul,Revised,
child,BCN-000000236,a0BQ800000O2aYzMAJ,A,Boule,HM,Hematology,3020001067,,Active,BCN-000000327
child,BCN-000000237,a0BQ800000O2aZ0MAJ,A,Boule,HM,Hematology,3020001067,,Revised,BCN-000000327
MASTER,BCN-000000328,a0BQ800000O2bVVMAZ,STA,Stago,COAG,Coagulation,3020001067,National Institute of Cardio Vescul,Active,
child,BCN-000000238,a0BQ800000O2aZ1MAJ,STA,Stago,COAG,Coagulation,3020001067,,Active,BCN-000000328
child,BCN-000000239,a0BQ800000O2aZ2MAJ,STA,Stago,COAG,Coagulation,3020001067,,Active,BCN-000000328
MASTER,BCN-000000329,a0BQ800000O2T9mMAF,OR,OCD,IMA,Immunoassay,3020000547,V-Med Inter Trade,Active,
child,BCN-000000242,a0BQ800000O2aZ5MAJ,OR,OCD,IMA,Immunoassay,3020000547,,Active,BCN-000000329
child,BCN-000000243,a0BQ800000O2aZ6MAJ,OR,OCD,IMA,Immunoassay,3020000547,,Active,BCN-000000329
MASTER,BCN-000000330,a0BQ800000O2bwvMAB,A,Boule,HM,Hematology,3020000166,Quaid-e-Azam Medical College,Active,
child,BCN-000000244,a0BQ800000O2aZ7MAJ,A,Boule,HM,Hematology,3020000166,,Active,BCN-000000330
child,BCN-000000245,a0BQ800000O2aZ8MAJ,A,Boule,HM,Hematology,3020000166,,Active,BCN-000000330
child,BCN-000000246,a0BQ800000O2aZ9MAJ,A,Boule,HM,Hematology,3020000166,,Active,BCN-000000330
child,BCN-000000247,a0BQ800000O2aZAMAZ,A,Boule,HM,Hematology,3020000166,,Active,BCN-000000330
child,BCN-000000248,a0BQ800000O2aZBMAZ,A,Boule,HM,Hematology,3020000166,,Active,BCN-000000330
MASTER,BCN-000000331,a0BQ800000O2c1lMAB,A,Boule,HM,Hematology,3020000084,Sindh Institute of Cardiovascular,Active,
child,BCN-000000259,a0BQ800000O2aZMMAZ,A,Boule,HM,Hematology,3020000084,,Active,BCN-000000331
child,BCN-000000261,a0BQ800000O2aZOMAZ,A,Boule,HM,Hematology,3020000084,,Active,BCN-000000331
child,BCN-000000264,a0BQ800000O2aZRMAZ,A,Boule,HM,Hematology,3020000084,,Active,BCN-000000331
child,BCN-000000266,a0BQ800000O2aZTMAZ,A,Boule,HM,Hematology,3020000084,,Active,BCN-000000331
child,BCN-000000267,a0BQ800000O2aZUMAZ,A,Boule,HM,Hematology,3020000084,,Active,BCN-000000331
MASTER,BCN-000000332,a0BQ800000O2c3NMAR,E,VitalScientific,CC,Clinical Chemistry,3020000084,Sindh Institute of Cardiovascular,Active,
child,BCN-000000258,a0BQ800000O2aZLMAZ,E,VitalScientific,CC,Clinical Chemistry,3020000084,,Active,BCN-000000332
child,BCN-000000262,a0BQ800000O2aZPMAZ,E,VitalScientific,CC,Clinical Chemistry,3020000084,,Active,BCN-000000332
child,BCN-000000265,a0BQ800000O2aZSMAZ,E,VitalScientific,CC,Clinical Chemistry,3020000084,,Active,BCN-000000332
child,BCN-000000268,a0BQ800000O2aZVMAZ,E,VitalScientific,CC,Clinical Chemistry,3020000084,,Active,BCN-000000332
MASTER,BCN-000000333,a0BQ800000O2c6bMAB,YHLO,YHLO,IMA,Immunoassay,3020000084,Sindh Institute of Cardiovascular,New Active,
child,BCN-000000263,a0BQ800000O2aZQMAZ,YHLO,YHLO,IMA,Immunoassay,3020000084,,New Active,BCN-000000333
child,BCN-000000269,a0BQ800000O2aZWMAZ,YHLO,YHLO,IMA,Immunoassay,3020000084,,New Active,BCN-000000333
MASTER,BCN-000000334,a0BQ800000O2cD3MAJ,YHLO,YHLO,IMA,Immunoassay,3020001280,Test Zone,New,
child,BCN-000000284,a0BQ800000O2aZlMAJ,YHLO,YHLO,IMA,Immunoassay,3020001280,,New,BCN-000000334
child,BCN-000000289,a0BQ800000O2aZqMAJ,YHLO,YHLO,IMA,Immunoassay,3020001280,,New,BCN-000000334
MASTER,BCN-000000335,a0BQ800000O2cJVMAZ,OR,OCD,IMA,Immunoassay,3020000439,Al Maisarah Dialysis & Diabetes Tru,Revised,
child,BCN-000000174,a0BQ800000O2aXzMAJ,OR,OCD,IMA,Immunoassay,3020000439,,Revised,BCN-000000335
child,BCN-000000293,a0BQ800000O2aZuMAJ,OR,OCD,IMA,Immunoassay,3020000439,,Closed,BCN-000000335
MASTER,BCN-000000336,a0BQ800000O2cL7MAJ,E,VitalScientific,CC,Clinical Chemistry,3020000692,Patients Welfare Foundation,Revised,
child,BCN-000000188,a0BQ800000O2aYDMAZ,E,VitalScientific,CC,Clinical Chemistry,3020000692,,Revised,BCN-000000336
child,BCN-000000295,a0BQ800000O2aZwMAJ,E,VitalScientific,CC,Clinical Chemistry,3020000692,,Closed,BCN-000000336
MASTER,BCN-000000337,a0BQ800000O2cPxMAJ,OR,OCD,IMA,Immunoassay,3020000917,Liaquat University Of Medical & Hea,Revised,
child,BCN-000000192,a0BQ800000O2aYHMAZ,OR,OCD,IMA,Immunoassay,3020000917,,Revised,BCN-000000337
child,BCN-000000296,a0BQ800000O2aZxMAJ,OR,OCD,IMA,Immunoassay,3020000917,,Closed,BCN-000000337
MASTER,BCN-000000338,a0BQ800000O2cWPMAZ,ER,Erba,,,3020001255,Jafaria Disaster Cell (JDC) Welfare,Closed,
child,BCN-000000300,a0BQ800000O2aa1MAB,ER,Erba,ELCT,Analyzer,3020001255,,Closed,BCN-000000338
child,BCN-000000301,a0BQ800000O2aa2MAB,ER,Erba,ELCT,Analyzer,3020001255,,Closed,BCN-000000338
MASTER,BCN-000000339,a0BQ800000O2cY1MAJ,A,Boule,HM,Hematology,3020001382,Ojal Enterprises,Closed,
child,BCN-000000304,a0BQ800000O2aa5MAB,A,Boule,HM,Hematology,3020001382,,Closed,BCN-000000339
child,BCN-000000305,a0BQ800000O2aa6MAB,A,Boule,HM,Hematology,3020001382,,Closed,BCN-000000339
child,BCN-000000306,a0BQ800000O2aa7MAB,A,Boule,HM,Hematology,3020001382,,Closed,BCN-000000339
child,BCN-000000307,a0BQ800000O2aa8MAB,A,Boule,HM,Hematology,3020001382,,Closed,BCN-000000339
child,BCN-000000308,a0BQ800000O2aa9MAB,A,Boule,HM,Hematology,3020001382,,Closed,BCN-000000339
MASTER,BCN-000000340,a0BQ800000O2ccrMAB,E,VitalScientific,CC,Clinical Chemistry,3020001047,North Mehran Diagnostic Centre,Revised,
child,BCN-000000240,a0BQ800000O2aZ3MAJ,E,VitalScientific,CC,Clinical Chemistry,3020001047,,Revised,BCN-000000340
child,BCN-000000312,a0BQ800000O2aaDMAR,E,VitalScientific,CC,Clinical Chemistry,3020001047,,Closed,BCN-000000340
MASTER,BCN-000000342,a0BQ800000UmYR7MAN,,,,,,,Active,

--- NON-MASTER BCs WITH NO MASTER LINKED ---
Type,BC Number,Salesforce Id,Vendor Code,Vendor Name,Technology Code,Technology Name,Customer Number,Customer Name,Status,Parent Master BC
orphan,BCN-000000004,a0BQ800000LhYtZMAV,,,,,,,Active,NONE
orphan,BCN-000000006,a0BQ800000Lo4AnMAJ,,,,,,,New,NONE
orphan,BCN-000000164,a0BQ800000O2aXpMAJ,ER,Erba,COAG,Coagulation,3020001175,,New,NONE
orphan,BCN-000000165,a0BQ800000O2aXqMAJ,ER,Erba,COAG,Coagulation,3020001175,,New,NONE
orphan,BCN-000000166,a0BQ800000O2aXrMAJ,NV,Nova,ABG,Arterial Blood Gas,3020001475,,Active,NONE
orphan,BCN-000000169,a0BQ800000O2aXuMAJ,NV,Nova,ABG,Arterial Blood Gas,3020000881,,Active,NONE
orphan,BCN-000000170,a0BQ800000O2aXvMAJ,STA,Stago,COAG,Coagulation,3020000881,,New Active,NONE
orphan,BCN-000000172,a0BQ800000O2aXxMAJ,A,Boule,HM,Hematology,3020001042,,New Active,NONE
orphan,BCN-000000173,a0BQ800000O2aXyMAJ,STA,Stago,COAG,Coagulation,3020000170,,Active,NONE
orphan,BCN-000000175,a0BQ800000O2aY0MAJ,ZYB,ZYBIO,URIN,Urinalysis,,,New,NONE
orphan,BCN-000000176,a0BQ800000O2aY1MAJ,STA,Stago,COAG,Coagulation,,,New Active,NONE
orphan,BCN-000000178,a0BQ800000O2aY3MAJ,E,VitalScientific,CC,Clinical Chemistry,3020001042,,New,NONE
orphan,BCN-000000179,a0BQ800000O2aY4MAJ,A,Boule,HM,Hematology,,,New,NONE
orphan,BCN-000000180,a0BQ800000O2aY5MAJ,A,Boule,HM,Hematology,3020000515,,New Active,NONE
orphan,BCN-000000181,a0BQ800000O2aY6MAJ,YHLO,YHLO,IMA,Immunoassay,3020000539,,Active 1,NONE
orphan,BCN-000000182,a0BQ800000O2aY7MAJ,STA,Stago,COAG,Coagulation,,,Active,NONE
orphan,BCN-000000183,a0BQ800000O2aY8MAJ,E,VitalScientific,CC,Clinical Chemistry,3020001192,,Active,NONE
orphan,BCN-000000184,a0BQ800000O2aY9MAJ,YHLO,YHLO,IMA,Immunoassay,3020000764,,New,NONE
orphan,BCN-000000185,a0BQ800000O2aYAMAZ,YHLO,YHLO,IMA,Immunoassay,3020000447,,Active,NONE
orphan,BCN-000000186,a0BQ800000O2aYBMAZ,A,Boule,HM,Hematology,3020000753,,Active,NONE
orphan,BCN-000000189,a0BQ800000O2aYEMAZ,ER,Erba,COAG,Coagulation,3020000692,,Active,NONE
orphan,BCN-000000190,a0BQ800000O2aYFMAZ,YHLO,YHLO,IMA,Immunoassay,3020000917,,Active 1,NONE
orphan,BCN-000000191,a0BQ800000O2aYGMAZ,E,VitalScientific,CC,Clinical Chemistry,3020000917,,Active,NONE
orphan,BCN-000000193,a0BQ800000O2aYIMAZ,YHLO,YHLO,IMA,Immunoassay,3020000013,,Active,NONE
orphan,BCN-000000194,a0BQ800000O2aYJMAZ,DYM,Dymind,HM,Hematology,,,Active,NONE
orphan,BCN-000000195,a0BQ800000O2aYKMAZ,E,VitalScientific,CC,Clinical Chemistry,3020000022,,Active,NONE
orphan,BCN-000000197,a0BQ800000O2aYMMAZ,ER,Erba,URIN,Urinalysis,3020000394,,New,NONE
orphan,BCN-000000198,a0BQ800000O2aYNMAZ,ER,Erba,URIN,Urinalysis,3020000719,,Active,NONE
orphan,BCN-000000199,a0BQ800000O2aYOMAZ,OR,OCD,IMA,Immunoassay,3020001479,,New,NONE
orphan,BCN-000000200,a0BQ800000O2aYPMAZ,DYM,Dymind,HM,Hematology,3020000823,,New Active,NONE
orphan,BCN-000000201,a0BQ800000O2aYQMAZ,NV,Nova,ABG,Arterial Blood Gas,3020000823,,New,NONE
orphan,BCN-000000203,a0BQ800000O2aYSMAZ,YHLO,YHLO,IMA,Immunoassay,3020000771,,New,NONE
orphan,BCN-000000204,a0BQ800000O2aYTMAZ,OR,OCD,IMA,Immunoassay,3020000771,,Active / Closed,NONE
orphan,BCN-000000206,a0BQ800000O2aYVMAZ,YHLO,YHLO,IMA,Immunoassay,,,New,NONE
orphan,BCN-000000207,a0BQ800000O2aYWMAZ,YHLO,YHLO,IMA,Immunoassay,,,New,NONE
orphan,BCN-000000208,a0BQ800000O2aYXMAZ,E,VitalScientific,CC,Clinical Chemistry,3020000386,,New,NONE
orphan,BCN-000000209,a0BQ800000O2aYYMAZ,YHLO,YHLO,IMA,Immunoassay,3020000386,,New,NONE
orphan,BCN-000000210,a0BQ800000O2aYZMAZ,YHLO,YHLO,IMA,Immunoassay,3020000605,,Active,NONE
orphan,BCN-000000211,a0BQ800000O2aYaMAJ,A,Boule,HM,Hematology,3020001511,,Active,NONE
orphan,BCN-000000212,a0BQ800000O2aYbMAJ,ER,Erba,COAG,Coagulation,3020001511,,Active,NONE
orphan,BCN-000000213,a0BQ800000O2aYcMAJ,ER,Erba,URIN,Urinalysis,3020001511,,Active,NONE
orphan,BCN-000000215,a0BQ800000O2aYeMAJ,E,VitalScientific,CC,Clinical Chemistry,3020001511,,Active,NONE
orphan,BCN-000000217,a0BQ800000O2aYgMAJ,YHLO,YHLO,IMA,Immunoassay,3020001384,,New,NONE
orphan,BCN-000000222,a0BQ800000O2aYlMAJ,STA,Stago,COAG,Coagulation,3020001552,,Active 1,NONE
orphan,BCN-000000223,a0BQ800000O2aYmMAJ,A,Boule,HM,Hematology,,,New,NONE
orphan,BCN-000000224,a0BQ800000O2aYnMAJ,OR,OCD,IMA,Immunoassay,3020001811,,New,NONE
orphan,BCN-000000225,a0BQ800000O2aYoMAJ,E,VitalScientific,CC,Clinical Chemistry,3020000736,,Active,NONE
orphan,BCN-000000226,a0BQ800000O2aYpMAJ,A,Boule,HM,Hematology,3020000736,,Active,NONE
orphan,BCN-000000228,a0BQ800000O2aYrMAJ,OR,OCD,IMA,Immunoassay,3020000936,,Active,NONE
orphan,BCN-000000229,a0BQ800000O2aYsMAJ,OR,OCD,IMA,Immunoassay,,,New,NONE
orphan,BCN-000000230,a0BQ800000O2aYtMAJ,YHLO,YHLO,IMA,Immunoassay,3020000816,,Active,NONE
orphan,BCN-000000231,a0BQ800000O2aYuMAJ,OR,OCD,IMA,Immunoassay,,,Active,NONE
orphan,BCN-000000232,a0BQ800000O2aYvMAJ,E,VitalScientific,CC,Clinical Chemistry,,,Active,NONE
orphan,BCN-000000233,a0BQ800000O2aYwMAJ,ER,Erba,URIN,Urinalysis,3020000734,,Active,NONE
orphan,BCN-000000234,a0BQ800000O2aYxMAJ,OR,OCD,IMA,Immunoassay,3020000206,,Active,NONE
orphan,BCN-000000235,a0BQ800000O2aYyMAJ,STA,Stago,COAG,Coagulation,3020000845,,Active,NONE
orphan,BCN-000000241,a0BQ800000O2aZ4MAJ,YHLO,YHLO,IMA,Immunoassay,,,New Active,NONE
orphan,BCN-000000249,a0BQ800000O2aZCMAZ,A,Boule,HM,Hematology,3020000166,,New,NONE
orphan,BCN-000000250,a0BQ800000O2aZDMAZ,YHLO,YHLO,IMA,Immunoassay,3020001141,,Active,NONE
orphan,BCN-000000254,a0BQ800000O2aZHMAZ,HW,Headway,UBT,Urea Breath Test,3020001399,,New,NONE
orphan,BCN-000000255,a0BQ800000O2aZIMAZ,NV,Nova,ABG,Arterial Blood Gas,3020001399,,New,NONE
orphan,BCN-000000256,a0BQ800000O2aZJMAZ,YHLO,YHLO,IMA,Immunoassay,3020001809,,New,NONE
orphan,BCN-000000257,a0BQ800000O2aZKMAZ,E,VitalScientific,CC,Clinical Chemistry,3020001221,,New,NONE
orphan,BCN-000000260,a0BQ800000O2aZNMAZ,YHLO,YHLO,IMA,Immunoassay,3020000084,,New Active,NONE
orphan,BCN-000000270,a0BQ800000O2aZXMAZ,E,VitalScientific,CC,Clinical Chemistry,3020001237,,Active,NONE
orphan,BCN-000000271,a0BQ800000O2aZYMAZ,DYM,Dymind,HM,Hematology,3020001237,,Active,NONE
orphan,BCN-000000272,a0BQ800000O2aZZMAZ,E,VitalScientific,CC,Clinical Chemistry,3020001224,,Active,NONE
orphan,BCN-000000274,a0BQ800000O2aZbMAJ,YHLO,YHLO,IMA,Immunoassay,3020001280,,Active,NONE
orphan,BCN-000000275,a0BQ800000O2aZcMAJ,E,VitalScientific,CC,Clinical Chemistry,3020000633,,Active / Completed,NONE
orphan,BCN-000000276,a0BQ800000O2aZdMAJ,ER,Erba,ELCT,Analyzer,3020000633,,New,NONE
orphan,BCN-000000277,a0BQ800000O2aZeMAJ,B,Boule,HM,Hematology,3020000209,,Active,NONE
orphan,BCN-000000279,a0BQ800000O2aZgMAJ,OR,OCD,IMA,Immunoassay,,,New,NONE
orphan,BCN-000000280,a0BQ800000O2aZhMAJ,OR,OCD,IMA,Immunoassay,,,New,NONE
orphan,BCN-000000281,a0BQ800000O2aZiMAJ,STA,Stago,COAG,Coagulation,,,New,NONE
orphan,BCN-000000282,a0BQ800000O2aZjMAJ,ER,Erba,ELCT,Analyzer,3020001230,,New,NONE
orphan,BCN-000000283,a0BQ800000O2aZkMAJ,STA,Stago,COAG,Coagulation,3020000088,,Active,NONE
orphan,BCN-000000285,a0BQ800000O2aZmMAJ,YHLO,YHLO,IMA,Immunoassay,3020001280,,New,NONE
orphan,BCN-000000286,a0BQ800000O2aZnMAJ,ER,Erba,ELCT,Analyzer,,,New,NONE
orphan,BCN-000000287,a0BQ800000O2aZoMAJ,DYM,Dymind,HM,Hematology,3020000206,,New,NONE
orphan,BCN-000000288,a0BQ800000O2aZpMAJ,A,Boule,HM,Hematology,3020000206,,New,NONE
orphan,BCN-000000290,a0BQ800000O2aZrMAJ,NV,Nova,ABG,Arterial Blood Gas,3020001092,,New,NONE
orphan,BCN-000000294,a0BQ800000O2aZvMAJ,NV,Nova,ABG,Arterial Blood Gas,3020000190,,Closed 1,NONE
orphan,BCN-000000297,a0BQ800000O2aZyMAJ,OR,OCD,IMA,Immunoassay,3020001748,,Closed Quetta,NONE
orphan,BCN-000000298,a0BQ800000O2aZzMAJ,OR,OCD,IMA,Immunoassay,3020000072,,Closed,NONE
orphan,BCN-000000299,a0BQ800000O2aa0MAB,YHLO,YHLO,IMA,Immunoassay,,,Closed,NONE
orphan,BCN-000000302,a0BQ800000O2aa3MAB,YHLO,YHLO,IMA,Immunoassay,3020000888,,Closed 1,NONE
orphan,BCN-000000303,a0BQ800000O2aa4MAB,OR,OCD,IMA,Immunoassay,3020000888,,Closed,NONE
orphan,BCN-000000310,a0BQ800000O2aaBMAR,STA,Stago,COAG,Coagulation,3020001019,,Closed,NONE
orphan,BCN-000000311,a0BQ800000O2aaCMAR,YHLO,YHLO,IMA,Immunoassay,,,Closed 1,NONE
orphan,BCN-000000313,a0BQ800000O2aaEMAR,E,VitalScientific,CC,Clinical Chemistry,3020000701,,Closed,NONE
orphan,BCN-000000314,a0BQ800000O2aaFMAR,OR,OCD,IMA,Immunoassay,3020001238,,Closed,NONE
orphan,BCN-000000316,a0BQ800000O2aaHMAR,ER,Erba,URIN,Urinalysis,,,Closed,NONE
orphan,BCN-000000317,a0BQ800000O2aaIMAR,YHLO,YHLO,IMA,Immunoassay,3020000943,,Closed,NONE
orphan,BCN-000000319,a0BQ800000O2aaKMAR,YHLO,YHLO,IMA,Immunoassay,3020001430,,Active,NONE
orphan,BCN-000000343,a0BQ800000UmqavMAB,,,,,,,Active,NONE
orphan,BCN-000000344,a0BQ800000UmhNyMAJ,,,,,,,Active,NONE
orphan,BCN-000000346,a0BQ800000VG0GjMAL,,,,,,,Active,NONE
orphan,BCN-000000347,a0BQ800000VoxUTMAZ,,,,,,,Active,NONE
